"satisfaction","Customer.Type","Age","Type.of.Travel","Class","Flight.Distance","Seat.comfort","Departure.Arrival.time.convenient","Food.and.drink","Gate.location","Inflight.wifi.service","Inflight.entertainment","Online.support","Ease.of.Online.booking","On.board.service","Leg.room.service","Baggage.handling","Checkin.service","Cleanliness","Online.boarding","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","structural_zero_flag","ArrivalDelay.Residual"
"satisfied","Loyal Customer",26,"Personal Travel","Eco",1846,0,1,0,3,3,0,1,3,3,2,4,1,3,3,0,0,TRUE,-0.757464267003349
"satisfied","Loyal Customer",51,"Personal Travel","Eco",986,0,1,0,4,5,0,5,5,1,5,3,1,3,5,2,12,TRUE,9.28483749273174
"satisfied","Loyal Customer",43,"Personal Travel","Eco",2785,0,4,0,3,3,0,3,3,3,3,1,3,5,3,0,0,TRUE,-0.757464267003349
"satisfied","Loyal Customer",66,"Personal Travel","Eco",914,0,4,0,3,5,5,4,5,5,0,5,5,5,4,5,0,TRUE,-5.65170986766561
"satisfied","Loyal Customer",63,"Personal Travel","Eco",2216,0,5,0,2,0,5,5,5,3,5,5,5,4,5,178,163,TRUE,-11.9926076505799
"dissatisfied","Loyal Customer",48,"Personal Travel","Eco Plus",1201,1,0,0,1,5,0,5,5,5,5,4,4,5,5,0,0,TRUE,-0.757464267003349
"dissatisfied","Loyal Customer",59,"Personal Travel","Eco",2804,1,0,1,3,4,1,4,4,4,2,5,3,4,4,0,0,TRUE,-0.757464267003349
"dissatisfied","Loyal Customer",56,"Personal Travel","Eco",1980,1,0,1,3,5,1,5,5,3,5,5,5,4,5,12,9,TRUE,-3.50365370859278
"satisfied","Loyal Customer",67,"Personal Travel","Eco",243,0,2,0,4,2,2,2,2,4,3,3,2,4,2,0,0,TRUE,-0.757464267003349
"dissatisfied","Loyal Customer",66,"Personal Travel","Eco",1190,1,0,3,2,3,3,3,3,5,5,4,5,5,3,0,0,TRUE,-0.757464267003349
"satisfied","Loyal Customer",38,"Personal Travel","Eco",2036,0,4,0,3,2,0,2,2,4,2,5,5,5,2,70,54,TRUE,-15.276902676275
"satisfied","Loyal Customer",38,"Personal Travel","Eco",3906,0,5,0,2,5,0,5,5,5,2,4,3,5,5,0,0,TRUE,-0.757464267003349
"satisfied","Loyal Customer",42,"Personal Travel","Eco",1084,0,5,0,3,2,5,5,3,3,0,1,3,3,3,0,0,TRUE,-0.757464267003349
"dissatisfied","Loyal Customer",19,"Personal Travel","Eco",2007,1,1,1,3,2,1,1,2,2,3,4,1,3,2,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",51,"Personal Travel","Eco",323,4,1,4,4,2,4,2,2,2,1,2,1,3,2,0,0,FALSE,-0.757464267003349
"satisfied","Loyal Customer",49,"Personal Travel","Eco",364,4,4,4,1,5,4,5,3,3,4,3,3,3,4,9,16,FALSE,6.43289365180458
"dissatisfied","Loyal Customer",63,"Personal Travel","Eco",2793,1,2,1,3,1,1,1,1,4,4,3,2,3,1,0,6,FALSE,5.24253573299665
"satisfied","Loyal Customer",70,"Personal Travel","Eco",1181,4,4,4,3,4,4,4,4,3,3,3,4,4,4,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",26,"Personal Travel","Eco",2401,1,2,1,3,1,1,1,1,1,1,3,1,3,1,31,24,FALSE,-7.10178699110938
"dissatisfied","Loyal Customer",54,"Personal Travel","Eco Plus",1661,1,2,1,3,1,1,1,1,3,3,2,3,3,1,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",11,"Personal Travel","Eco",3085,1,2,1,4,3,1,3,3,4,2,3,2,4,3,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",8,"Personal Travel","Eco",1266,1,2,1,4,1,1,1,1,3,1,4,1,3,1,8,23,FALSE,14.411742771937
"dissatisfied","Loyal Customer",62,"Personal Travel","Eco",1295,1,2,1,4,2,1,2,2,1,1,4,3,4,2,9,5,FALSE,-4.56710634819542
"satisfied","Loyal Customer",7,"Personal Travel","Eco",993,4,5,4,5,3,4,3,3,3,4,4,3,4,3,94,89,FALSE,-3.7692815594539
"satisfied","Loyal Customer",18,"Personal Travel","Eco Plus",1516,5,1,5,4,5,5,5,5,2,1,3,4,4,5,0,0,FALSE,-0.757464267003349
"dissatisfied","Loyal Customer",11,"Personal Travel","Business",2208,1,3,1,1,3,1,3,3,3,3,4,1,3,3,8,0,FALSE,-8.58825722806297
