"satisfaction","customer_type","age","travel_type","cabin_class","flight_distance","seat_comfort","time_convenient","food_drink","gate_location","wifi","entertainment","online_support","ease_booking","onboard_service","legroom","baggage","checkin","cleanliness","online_boarding","dep_delay","arr_delay","row_id","arr_delay_res","midfly_delay","log_mid_delay","log_dep_delay"
"satisfied","Loyal Customer",30,"Personal Travel","Eco",3568,0,4,0,1,4,0,4,4,3,5,5,4,4,4,5,0,259,-5.65170986766561,-5,-1.79175946922805,1.79175946922805
"satisfied","Loyal Customer",36,"Personal Travel","Eco Plus",1254,0,4,0,1,1,0,1,1,3,4,4,3,5,1,4,0,291,-4.67286074753316,-4,-1.6094379124341,1.6094379124341
"satisfied","Loyal Customer",27,"Personal Travel","Eco",1967,0,4,0,3,4,0,4,4,4,4,5,4,4,4,0,0,392,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",18,"Personal Travel","Eco",1526,0,5,0,2,1,0,1,1,4,2,4,4,4,1,106,90,614,-14.5154710010433,-16,-2.83321334405622,4.67282883446191
"satisfied","Loyal Customer",48,"Personal Travel","Eco",2011,0,5,0,3,4,0,3,4,4,4,5,5,4,4,0,3,690,2.24253573299665,3,1.38629436111989,0
"satisfied","Loyal Customer",33,"Personal Travel","Eco",3560,0,0,0,4,2,0,2,2,3,2,5,2,5,2,0,0,803,-0.757464267003349,0,0,0
"satisfied","Loyal Customer",52,"Personal Travel","Business",1139,0,4,0,2,5,0,5,5,3,5,4,4,5,5,96,127,1000,32.2730202002812,31,3.46573590279973,4.57471097850338
"satisfied","Loyal Customer",47,"Personal Travel","Eco",1765,0,5,0,3,5,4,4,5,5,0,5,2,5,3,24,37,1182,12.7501568498178,13,2.63905732961526,3.2188758248682
"dissatisfied","Loyal Customer",32,"Personal Travel","Eco",1639,1,1,1,3,1,1,1,1,3,2,2,3,2,1,0,0,1331,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",17,"Personal Travel","Eco",3026,1,2,1,2,4,1,4,4,4,1,2,4,2,4,13,5,1669,-8.48250282872524,-8,-2.19722457733622,2.63905732961526
"satisfied","Loyal Customer",41,"Personal Travel","Eco",3442,4,4,4,3,1,4,1,1,3,2,4,5,5,1,37,4,1765,-32.9748817119041,-33,-3.52636052461616,3.63758615972639
"dissatisfied","Loyal Customer",61,"Personal Travel","Eco",2148,1,2,1,4,5,1,5,5,4,2,4,2,4,5,0,0,2131,-0.757464267003349,0,0,0
"dissatisfied","Loyal Customer",48,"Personal Travel","Eco",1841,1,3,0,3,0,4,4,1,4,2,2,4,1,4,138,131,2356,-4.83864284528184,-7,-2.07944154167984,4.93447393313069
"satisfied","Loyal Customer",42,"Personal Travel","Eco",1510,5,2,5,3,3,4,4,2,2,5,2,1,2,2,20,12,2463,-8.3344466696524,-8,-2.19722457733622,3.04452243772342
"satisfied","Loyal Customer",18,"Personal Travel","Eco",1633,5,4,5,3,2,4,5,3,3,5,3,3,3,3,1,0,2730,-1.7363133871358,-1,-0.693147180559945,0.693147180559945
"satisfied","Loyal Customer",22,"Personal Travel","Eco",1898,5,4,5,3,3,5,3,3,4,2,4,3,4,3,10,3,2774,-7.54595546832788,-7,-2.07944154167984,2.39789527279837
"satisfied","Loyal Customer",18,"Personal Travel","Eco",1796,5,4,5,4,3,5,3,3,3,4,5,5,5,3,85,82,2834,-1.95963947826184,-3,-1.38629436111989,4.45434729625351
